IDfg,Season,PA,HR,R,RBI,SB,BB%_bat,K%_bat,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP_bat,O-Swing%_bat,Z-Swing%_bat,Swing%_bat,O-Contact%_bat,Z-Contact%_bat,Contact%_bat,Zone%_bat,SwStr%_bat,LD%_bat,GB%_bat,FB%_bat,Hard%_bat,Soft%_bat,Pull%,Cent%,Oppo%,Barrel%_bat,W,L,SV,IP,BB%_pitch,K%_pitch,HR/9,ERA,WHIP,FIP,ERA-,FIP-,xFIP-,BABIP_pitch,O-Swing%_pitch,Z-Swing%_pitch,Swing%_pitch,O-Contact%_pitch,Z-Contact%_pitch,Contact%_pitch,Zone%_pitch,SwStr%_pitch,LD%_pitch,GB%_pitch,FB%_pitch,Hard%_pitch,Soft%_pitch,Barrel%_pitch,Name,Team,Age,G,WAR,League
5361,2025,612.0,21.0,77.0,85.0,5.0,0.093,0.206,0.292,0.363,0.487,0.85,0.363,134.0,0.343,0.3289999999999999,0.782,0.521,0.628,0.8059999999999999,0.741,0.424,0.135,0.225,0.407,0.369,0.371,0.106,0.433,0.314,0.253,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddie Freeman,LAD,35.0,143.0,3.4,NL
5417,2025,641.0,26.0,78.0,75.0,10.0,0.081,0.165,0.263,0.325,0.441,0.766,0.329,111.0,0.279,0.4039999999999999,0.648,0.494,0.7340000000000001,0.91,0.8190000000000001,0.366,0.089,0.183,0.416,0.401,0.292,0.192,0.564,0.282,0.154,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jose Altuve,HOU,35.0,151.0,1.9,AL
7304,2025,619.0,30.0,53.0,97.0,0.0,0.042,0.192,0.242,0.287,0.457,0.744,0.317,100.0,0.256,0.456,0.7509999999999999,0.573,0.639,0.8640000000000001,0.757,0.3979999999999999,0.139,0.191,0.35,0.4589999999999999,0.374,0.165,0.472,0.3279999999999999,0.2,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvador Perez,KCR,35.0,150.0,0.9,AL
9218,2025,520.0,10.0,74.0,44.0,5.0,0.069,0.185,0.278,0.333,0.411,0.743,0.322,107.0,0.329,0.308,0.669,0.475,0.728,0.867,0.818,0.462,0.086,0.228,0.386,0.386,0.307,0.121,0.3779999999999999,0.3329999999999999,0.289,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Goldschmidt,NYY,37.0,141.0,1.0,AL
9847,2025,535.0,13.0,50.0,57.0,1.0,0.123,0.215,0.24,0.336,0.372,0.708,0.312,97.0,0.291,0.238,0.715,0.4529999999999999,0.5660000000000001,0.8320000000000001,0.755,0.451,0.111,0.209,0.414,0.377,0.351,0.166,0.477,0.3289999999999999,0.1939999999999999,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew McCutchen,PIT,38.0,131.0,0.0,NL
10155,2025,543.0,22.0,68.0,59.0,2.0,0.158,0.322,0.227,0.356,0.412,0.768,0.334,113.0,0.312,0.2269999999999999,0.589,0.386,0.539,0.818,0.726,0.439,0.106,0.233,0.349,0.418,0.375,0.171,0.385,0.331,0.284,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Trout,LAA,33.0,126.0,1.3,AL
10324,2025,578.0,20.0,60.0,66.0,0.0,0.159,0.242,0.232,0.355,0.398,0.753,0.333,113.0,0.28,0.241,0.618,0.3929999999999999,0.63,0.8440000000000001,0.7659999999999999,0.4029999999999999,0.092,0.1939999999999999,0.408,0.3989999999999999,0.34,0.15,0.431,0.337,0.2319999999999999,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcell Ozuna,ATL,34.0,141.0,1.1,NL
10954,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,0.0,167.2,0.055,0.271,1.34,3.01,0.93,3.67,74.0,87.0,81.0,0.231,0.359,0.725,0.517,0.555,0.8390000000000001,0.728,0.433,0.141,0.198,0.38,0.422,0.317,0.151,0.089,Jacob deGrom,TEX,37.0,29.0,3.3,AL
11156,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,0.0,184.0,0.064,0.223,1.13,3.52,1.11,3.77,84.0,93.0,92.0,0.264,0.356,0.6859999999999999,0.492,0.657,0.88,0.785,0.411,0.106,0.19,0.431,0.38,0.347,0.162,0.092,Merrill Kelly,- - -,36.0,32.0,3.1,
11477,2025,625.0,29.0,87.0,102.0,16.0,0.1009999999999999,0.258,0.266,0.346,0.459,0.804,0.347,123.0,0.324,0.294,0.6759999999999999,0.451,0.5539999999999999,0.853,0.738,0.411,0.118,0.195,0.5670000000000001,0.238,0.336,0.159,0.321,0.396,0.283,0.1009999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Yelich,MIL,33.0,146.0,2.5,NL
11486,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,0.0,182.1,0.0969999999999999,0.246,1.09,3.65,1.21,3.94,88.0,99.0,103.0,0.268,0.321,0.723,0.49,0.59,0.838,0.7440000000000001,0.42,0.125,0.172,0.361,0.467,0.315,0.138,0.096,Robbie Ray,SFG,33.0,32.0,2.2,NL
11493,2025,667.0,26.0,88.0,93.0,14.0,0.081,0.1889999999999999,0.274,0.334,0.458,0.792,0.34,122.0,0.306,0.321,0.728,0.498,0.609,0.848,0.7609999999999999,0.435,0.119,0.188,0.39,0.421,0.38,0.122,0.376,0.37,0.254,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manny Machado,SDP,32.0,156.0,3.7,NL
11579,2025,564.0,27.0,72.0,75.0,12.0,0.121,0.207,0.263,0.358,0.495,0.853,0.364,133.0,0.292,0.382,0.81,0.5429999999999999,0.5489999999999999,0.8390000000000001,0.7120000000000001,0.376,0.156,0.186,0.434,0.38,0.381,0.118,0.391,0.3429999999999999,0.265,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryce Harper,PHI,32.0,128.0,3.5,NL
11609,2025,563.0,20.0,70.0,80.0,5.0,0.078,0.252,0.257,0.344,0.447,0.791,0.345,123.0,0.319,0.344,0.6729999999999999,0.484,0.5770000000000001,0.847,0.737,0.426,0.127,0.207,0.418,0.375,0.3229999999999999,0.159,0.3939999999999999,0.371,0.235,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willson Contreras,STL,33.0,135.0,2.8,NL
11737,2025,572.0,17.0,71.0,71.0,4.0,0.054,0.22,0.256,0.299,0.41,0.709,0.307,93.0,0.302,0.4429999999999999,0.818,0.5870000000000001,0.585,0.862,0.733,0.384,0.156,0.2239999999999999,0.392,0.384,0.316,0.114,0.426,0.341,0.2339999999999999,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Castellanos,PHI,33.0,142.0,-0.4,NL
11739,2025,538.0,12.0,57.0,52.0,7.0,0.063,0.2319999999999999,0.259,0.317,0.389,0.706,0.309,95.0,0.322,0.353,0.664,0.486,0.63,0.902,0.789,0.428,0.102,0.211,0.447,0.341,0.317,0.127,0.409,0.347,0.244,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.T. Realmuto,PHI,34.0,131.0,2.2,NL
12049,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,0.0,159.2,0.064,0.158,1.35,4.79,1.28,4.67,115.0,110.0,116.0,0.279,0.341,0.6609999999999999,0.478,0.778,0.879,0.838,0.428,0.077,0.188,0.386,0.426,0.258,0.208,0.079,Kyle Hendricks,LAA,35.0,30.0,1.6,AL
12161,2025,538.0,10.0,60.0,49.0,20.0,0.089,0.1689999999999999,0.26,0.328,0.384,0.711,0.311,102.0,0.297,0.271,0.597,0.417,0.6459999999999999,0.889,0.802,0.45,0.083,0.208,0.442,0.35,0.304,0.149,0.4529999999999999,0.349,0.1969999999999999,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xander Bogaerts,SDP,32.0,132.0,3.0,NL
12304,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,0.0,170.1,0.071,0.226,1.16,3.96,1.33,4.02,97.0,94.0,91.0,0.315,0.291,0.695,0.466,0.685,0.8440000000000001,0.787,0.433,0.099,0.203,0.465,0.332,0.297,0.2,0.085,Chris Bassitt,TOR,36.0,32.0,2.5,AL
12533,2025,534.0,15.0,62.0,62.0,11.0,0.094,0.174,0.23,0.305,0.364,0.669,0.295,89.0,0.251,0.2789999999999999,0.777,0.489,0.591,0.893,0.7929999999999999,0.422,0.1009999999999999,0.2019999999999999,0.342,0.456,0.324,0.166,0.4639999999999999,0.355,0.181,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Semien,TEX,34.0,127.0,2.1,AL
12552,2025,636.0,47.0,89.0,113.0,4.0,0.072,0.296,0.229,0.302,0.527,0.829,0.349,126.0,0.245,0.34,0.716,0.502,0.488,0.826,0.696,0.431,0.152,0.181,0.316,0.503,0.37,0.161,0.505,0.324,0.171,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugenio Suarez,- - -,33.0,154.0,3.7,
12564,2025,637.0,25.0,90.0,95.0,31.0,0.052,0.267,0.264,0.31,0.439,0.748,0.324,103.0,0.329,0.384,0.738,0.5429999999999999,0.5489999999999999,0.845,0.73,0.449,0.147,0.185,0.439,0.376,0.365,0.152,0.396,0.3229999999999999,0.281,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Story,BOS,32.0,153.0,3.2,AL
12730,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,13.0,0.0,162.2,0.06,0.17,1.22,4.54,1.2,4.35,102.0,100.0,109.0,0.274,0.289,0.664,0.4679999999999999,0.6859999999999999,0.883,0.82,0.478,0.084,0.21,0.381,0.409,0.282,0.162,0.07,Nick Martinez,CIN,34.0,38.0,2.1,NL
12768,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,0.0,174.2,0.05,0.268,1.24,4.33,1.23,3.38,105.0,84.0,74.0,0.329,0.3389999999999999,0.653,0.472,0.5489999999999999,0.888,0.747,0.422,0.119,0.2239999999999999,0.435,0.341,0.3329999999999999,0.18,0.093,Sonny Gray,STL,35.0,31.0,3.5,NL
